80, 42, 37, 25, 63, 64, 94, 21, 30, 95, 76, 47, 92, 78, 93, 79, 92, 83, 28, 91, 12, 9, 96, 97, 26, 
83, 31, 64, 26, 81, 84, 76, 29, 87, 99, 92, 93, 59, 68, 42, 21, 53, 93, 30, 14, 44, 30, 28, 84, 81, 
95, 30, 45, 50, 96, 80, 54, 53, 4, 72, 85, 60, 4, 56, 75, 94, 79, 56, 72, 61, 5, 43, 94, 12, 43, 
96, 3, 0, 62, 44, 91, 54, 31, 92, 57, 63, 99, 39, 5, 7, 63, 28, 13, 34, 13, 56, 69, 8, 68, 30, 
40, 99, 93, 37, 24, 79, 76, 95, 47, 3, 69, 49, 87, 75, 51, 57, 30, 80, 34, 67, 7, 98, 65, 31, 64, 
67, 57, 66, 94, 63, 39, 75, 81, 89, 5, 13, 93, 76, 84, 57, 85, 87, 47, 33, 86, 74, 49, 28, 30, 1, 
37, 4, 5, 68, 29, 52, 3, 38, 46, 73, 21, 79, 32, 79, 8, 0, 20, 5, 94, 0, 64, 60, 19, 5, 46, 
93, 13, 23, 95, 26, 92, 34, 70, 39, 0, 56, 45, 34, 88, 2, 8, 75, 40, 97, 14, 91, 84, 97, 29, 91, 
49, 11, 88, 65, 97, 60, 35, 0, 49, 77, 40, 52, 75, 91, 51, 37, 87, 70, 34, 58, 53, 20, 78, 88, 24, 
54, 62, 59, 82, 13, 56, 72, 25, 7, 80, 74, 97, 83, 9, 8, 28, 74, 98, 25, 46, 12, 33, 15, 32, 93, 
85, 34, 4, 81, 14, 17, 9, 73, 80, 62, 72, 86, 1, 34, 76, 62, 38, 16, 77, 25, 92, 39, 59, 9, 35, 
56, 54, 75, 42, 81, 48, 44, 8, 0, 86, 99, 91, 21, 56, 77, 55, 27, 58, 16, 50, 94, 73, 57, 1, 19, 
15, 75, 36, 30, 55, 84, 67, 7, 49, 79, 51, 78, 20, 76, 3, 23, 48, 80, 24, 49, 34, 35, 65, 42, 68, 
17, 39, 97, 2, 72, 91, 65, 35, 80, 66, 35, 10, 44, 74, 77, 56, 12, 49, 60, 31, 85, 34, 25, 23, 5, 
9, 56, 51, 42, 37, 28, 25, 7, 2, 74, 65, 84, 67, 83, 60, 80, 61, 18, 96, 34, 56, 75, 95, 90, 15, 
34, 22, 9, 39, 45, 28, 20, 83, 34, 13, 61, 84, 6, 88, 48, 92, 64, 2, 84, 19, 75, 96, 95, 71, 21, 
43, 45, 95, 51, 57, 67, 95, 87, 68, 18, 83, 77, 31, 58, 59, 98, 19, 6, 90, 86, 20, 67, 10, 33, 82, 
51, 94, 11, 27, 80, 99, 74, 24, 23, 25, 27, 5, 72, 4, 69, 61, 29, 50, 34, 13, 28, 22, 80, 76, 52, 
76, 56, 49, 48, 80, 0, 86, 42, 49, 45, 63, 75, 93, 38, 8, 91, 56, 40, 39, 68, 56, 82, 15, 16, 17, 
94, 98, 30, 81, 16, 6, 7, 40, 68, 87, 43, 62, 95, 79, 62, 40, 49, 61, 10, 16, 57, 62, 78, 57, 56, 
53, 89, 17, 49, 97, 74, 76, 74, 78, 43, 48, 29, 68, 43, 82, 52, 26, 51, 97, 11, 63, 83, 97, 68, 83, 
5, 98, 2, 1, 50, 30, 83, 75, 70, 30, 57, 66, 28, 33, 65, 83, 70, 57, 99, 13, 63, 23, 8, 39, 12, 
18, 0, 47, 55, 95, 52, 90, 29, 45, 66, 78, 2, 83, 11, 7, 33, 16, 94, 40, 57, 41, 68, 44, 80, 67, 
57, 60, 18, 80, 94, 79, 43, 27, 44, 29, 12, 92, 58, 95, 75, 12, 97, 76, 94, 96, 58, 70, 52, 73, 43, 
17, 9, 3, 72, 41, 99, 19, 93, 35, 28, 1, 70, 2, 57, 42, 46, 90, 57, 66, 81, 86, 99, 10, 32, 8, 
23, 52, 69, 96, 32, 63, 51, 19, 48, 62, 29, 19, 75, 22, 57, 50, 18, 75, 28, 7, 39, 13, 43, 55, 18, 
98, 36, 41, 79, 64, 74, 22, 82, 91, 32, 54, 82, 90, 23, 51, 48, 89, 56, 83, 31, 34, 53, 94, 56, 40, 
1, 49, 8, 79, 46, 75, 64, 42, 77, 36, 34, 95, 30, 70, 19, 4, 53, 85, 15, 24, 6, 40, 12, 34, 61, 
44, 26, 88, 68, 24, 39, 59, 19, 6, 99, 24, 53, 12, 84, 70, 71, 77, 45, 54, 41, 18, 91, 1, 82, 48, 
99, 27, 35, 74, 94, 52, 53, 51, 71, 33, 47, 27, 18, 72, 8, 45, 89, 80, 83, 14, 29, 40, 61, 45, 74, 
31, 36, 17, 0, 44, 58, 24, 20, 32, 53, 77, 23, 22, 3, 30, 11, 30, 73, 49, 39, 98, 32, 89, 18, 35, 
74, 81, 37, 60, 0, 22, 47, 58, 18, 69, 59, 42, 54, 49, 40, 45, 65, 77, 44, 79, 24, 31, 20, 47, 23, 
59, 57, 17, 54, 3, 79, 97, 76, 5, 92, 31, 54, 45, 99, 62, 17, 22, 93, 26, 27, 11, 1, 60, 37, 28, 
9, 73, 34, 90, 23, 63, 9, 50, 63, 83, 20, 12, 9, 75, 12, 97, 10, 44, 62, 35, 26, 32, 2, 66, 41, 
86, 94, 91, 13, 82, 30, 80, 56, 82, 23, 11, 45, 13, 97, 72, 26, 44, 82, 92, 65, 61, 58, 83, 16, 18, 
96, 78, 54, 45, 95, 43, 22, 69, 93, 95, 49, 76, 55, 1, 63, 68, 96, 22, 74, 3, 79, 46, 39, 58, 76, 
53, 19, 30, 5, 91, 33, 43, 72, 20, 94, 98, 21, 16, 81, 12, 57, 40, 76, 22, 91, 86, 61, 24, 66, 97, 
58, 44, 93, 85, 54, 57, 80, 99, 40, 43, 15, 62, 44, 0, 80, 37, 38, 44, 50, 77, 72, 60, 59, 43, 1, 
20, 53, 94, 2, 80, 78, 1, 82, 30, 60, 83, 60, 12, 93, 57, 75, 91, 59, 13, 58, 34, 11, 90, 54, 81, 
33, 50, 46, 70, 71, 45, 39, 78, 21, 36, 86, 82, 64, 33, 17, 63, 64, 50, 80, 59, 8, 70, 10, 29, 44, 
